name,Luu luong (luot/ngay),Ty le xe may (%),Ty le o to (%)
Nghĩa Phát,104468,73,7
Lãnh Binh Thăng,306228,76,5
Phú Thọ,298882,72,7
Phú Châu,110684,70,5
Nguyễn Văn Bứa,278458,78,9
Thiên Phước,106130,77,6
Nam Hoà,165138,74,7
Nguyễn Kim,276685,76,7
Chợ Lớn,228406,75,10
Tân Thới Hiệp 21,273940,74,10
Đường số 12,254077,72,7
Hưng Nhơn,219777,72,6
Hẻm 92B Tôn Thất Thuyết,159558,69,6
Vĩnh Hội,117594,73,9
Dồng Tâm,105380,68,8
Đường số 31,260501,74,6
Trương Công Định,326261,75,9
Bình Lợi,187746,69,10
Bình Thới,352910,74,5
Tây Thạnh,359859,76,6
Tam Châu,133982,77,8
Đường số 10,282803,77,8
Đường số 17,211685,73,5
Hồ Văn Huê,392803,74,8
Đường Số 10,137577,76,10
Tân Quý,278534,68,8
Đường số 4,104258,75,5
Đào Trinh Nhất,189183,76,10
Ung Văn Khiêm,344589,76,7
Bà Lài,189504,75,7
Phan Thúc Duyện,327273,68,5
Tô Hiệu,375271,70,5
Phan Văn Năm,254749,70,7
Lê Văn Khương,342230,69,9
Xuân Hồng,383033,78,7
Đặng Văn Ngữ,336750,77,8
Hoàng Thiều Hoa,122025,77,6
Tên Lửa,374282,69,10
Bình Đông,123637,68,5
Nguyễn Xí,382806,70,6
Lê Quang Kim,152790,68,8
Trần Tuấn Khải,177099,70,6
Trần Quốc Hoàn,382256,74,9
Phó Cơ Điều,178961,78,6
Trần Văn Kiểu,296707,68,8
Bình Tiên,325451,71,5
Lữ Gia,369183,70,5
Thế Lữ,117561,70,9
Vạn Kiếp,344339,75,10
Bùi Tư Toàn,269126,77,6
Nguyễn Thị Sóc,198578,77,7
Cầu Xéo,229754,71,9
Trần Nhân Tôn,374553,71,5
Dương Bạch Mai,200441,68,5
Đường số 13,151222,75,6
Hoàng Sĩ Khải,284326,77,8
Hoàng Hữu Nam,297881,71,7
Ngô Chí Quốc,278315,74,8
Tỉnh lộ 43,381128,78,9
Tống Văn Trân,235181,77,7
Hẻm 341 Khuông Việt,52921,69,9
Lê Hoàng Phái,193793,75,9
Nguyễn Ảnh Thủ,258262,73,5
Trương Vĩnh Ký,288578,70,6
Xuân Thuỷ,244830,73,9
Tôn Đản,228665,78,8
Trịnh Thị Miếng,190556,73,10
Bà Triệu,146873,72,10
Đỗ Thừa Luông,107244,74,5
Lâm Viên,47894,73,6
Đường Số 1,195304,74,6
Cầu số 3,31783,69,7
Quốc Hương,277110,68,6
Trần Thị Bốc,124896,68,7
Đa Phước,20470,68,9
Đường số 14,141547,75,5
Phan Văn Trị,260137,76,10
Phạm Văn Chiêu,240618,74,10
Đường Liên ấp,110891,74,10
Đường 59,149091,76,8
Cao Lỗ,201393,71,8
Hoà Hưng,218357,73,7
Dương Văn Dương,161930,74,8
Thoại Ngọc Hầu,204915,72,5
Nguyễn Ngọc Lộc,140752,77,7
Nguyễn Văn Khối,279501,78,9
Diệp Minh Châu,192664,77,6
Phạm Văn Sáng,124221,70,9
Bùi Thanh Khiết,235316,74,8
Đại lộ Độc Lập,371876,72,6
Trưng Nữ Vương,271070,76,9
Lý Chiêu Hoàng,253022,70,8
Đường Liên Ấp 6-2,151599,75,8
Lại Hùng Cường,198842,73,5
Phạm Văn Xảo,176309,71,9
Trịnh Quang Nghị,297096,78,6
Cầu Kinh,27643,72,9
Vườn Lài,299134,74,9
Cầu Bình Triệu 1,328557,75,5
Bưng Ông Thoàn,126446,75,7
Lê Văn Qưới,223728,71,6
Lưu Hữu Phước,141323,72,9
Lê Bình,181247,74,9
Võ Văn Ngân,351809,78,6
Nguyễn Văn Tăng,255766,75,9
Nguyễn Thái Bình,275032,75,5
Quốc lộ 1,311324,78,6
Đông Hưng Thuận 2,194375,68,5
Nguyễn Sĩ Cố,171233,71,8
Bến Bình Đông,101682,75,8
Trường Lưu,128806,72,5
Phan Huy Ôn,121213,72,5
Hoàng Diệu,267798,76,9
Bình Phú,148325,69,6
Phạm Văn Bạch,200502,78,7
Bà Diểm 5,89812,75,8
Hẻm 137 Phan Anh,42598,72,5
Lê Đình Cẩn,180742,73,9
Phạm Thế Hiển,294487,78,10
Phạm Hữu Lầu,284522,71,5
Bến Cát,195727,76,10
Cầu vượt Ngã tư Gò Dưa,346132,77,7
Minh Phụng,299874,78,5
Nguyễn Văn Lạc,106939,68,5
Bến Ngô Sĩ Liên,111377,73,10
Dương Văn Cam,132527,72,5
Âu Dương Lân,219998,71,6
Đất Thánh,78658,72,9
Số 7,185382,73,6
Đồng Đen,267805,77,6
Hẻm 86 Ông Ích Khiêm,46120,72,6
Nguyễn Nhược Thị,106586,71,9
Nguyễn Thị Đặng,174317,71,5
Linh Trung,270694,72,8
Nguyễn Hữu Trí,262964,76,8
Nguyễn Hậu,186892,71,10
Số 12,165671,73,10
Đường Số 15,127170,74,6
Nguyễn Sơn,242969,70,6
Liên khu 5-11-12,109660,71,8
Bình Đường,171335,69,7
Tân Mỹ,276319,69,7
Gò Xoài,146406,76,10
Nguyễn Duy Trinh,331565,68,9
Trương Đình Hội,213734,75,6
Sư Vạn Hạnh,302563,74,6
Đường B1,98986,69,9
Tân Xuân 2,45186,71,7
Hoàng Hoa Thám,370426,73,10
Đoàn Văn Bơ ( ngõ chợ ),162631,69,7
Phạm Phú Thứ,233529,71,5
Nguyễn Trọng Tuyển,299956,76,9
Đông Hưng Thuận 6,145108,78,9
Trần Văn Quang,294272,76,8
Đường số 8,109453,77,5
Gò Dầu,235520,74,8
Liên khu 2-5,143631,74,9
Lê Văn Việt,332631,78,9
Phú Thọ Hoà,178099,75,5
Bàu Cát,224160,75,9
Cây Bàng,134332,70,9
Lý Phục Man,201696,68,5
Hiệp Bình,252302,73,7
Đường N,27310,74,6
Bông Văn Dìa,168033,70,5
Đường số 7A,164845,70,10
Đường số 1,126335,70,8
Dương Đình Hội,252558,74,10
Lâm Văn Bền,291709,71,10
Độc Lập,349256,73,6
Nguyễn Thị Tú,220362,78,8
Hiền Vương,226306,73,5
Nguyễn Biểu,210778,68,8
Đường số 2,136679,70,10
Đường số 6,170313,71,9
Thăng Long,299574,70,5
Đường số 3,115044,76,6
Nguyễn Tuyển,170312,68,6
Xuân Thới Sơn 21,10401,78,8
Lê Thị Hà,110950,68,6
Ngô Tất Tố,266514,78,9
Quách Điêu,157576,69,6
Cầu B1,45633,74,8
Nguyễn Xuân Khoát,150309,70,10
Nguyễn Văn Hưởng,241186,71,10
Ngô Nhân Tịnh,260415,69,10
Bùi Hữu Nghĩa,233996,73,7
Cầu Chữ Y,326631,76,9
Phan Xích Long,392656,78,10
Hồ Học Lãm,257907,77,8
Đào Duy Anh,294843,78,7
Trần Hưng Đạo,393179,69,6
Hẻm 85 Bùi Minh Trực,94788,68,9
Tô Hiến Thành,257321,78,9
Võ Thị Hồi,160754,75,6
Xóm Chiếu,270052,78,5
Bình Trị Đông,115477,68,6
Trần Quý,208323,74,6
Nguyễn Văn Đậu,282826,77,7
Trần Văn Mười,137802,69,5
Nguyễn Thần Hiến,161048,70,9
Tân Sơn Nhì,221299,72,9
Tam Hà,125197,71,7
Hoài Thanh,101206,71,10
Huỳnh Thiện Lộc,123835,76,7
Lương Định Của,233220,71,8
Trần Văn Trà,241933,71,8
Đường số 24,109120,69,9
Bành Văn Trân,233106,73,9
Tô Ngọc Vân,281167,71,6
Bình Trưng,133937,74,5
Phan Văn Đối,148036,71,7
Trung Mỹ - Tân Xuân,162731,73,10
Đường Nguyễn Gia Trí,260851,76,5
Thống Nhất,391208,72,8
Tỉnh Lộ 10,341240,77,9
Cầu vượt An Sương,383072,78,10
Cầu Suối Cái,86815,76,9
Lê Văn Chí,250242,78,6
Cầu Bến Nọc,42392,69,5
Nguyễn Xiển,290263,72,8
Long Phước,108311,70,8
Cầu Trao Trảo,72681,69,9
Cầu Gò Công,12572,71,9
Cầu Rạch Gầm,11365,76,9
Cầu Võ Khế,19025,77,5
Cầu Ông Nhiêu,37104,69,9
Cầu Xây dựng,99793,74,7
Cầu Rạch Chiếc 2,300776,72,6
Cầu Bình Phước 1,381137,73,5
Cầu Vĩnh Bình,37441,77,9
Cầu vượt Bình Phước,374448,74,6
Đồng Văn Cống,315431,68,8
Cầu Gò Dưa,259206,75,7
Cầu Ông Dầu,87398,74,5
Cầu Cả Bốn 1,14211,68,5
Cầu Ga 1A,36433,72,10
Cầu Rạch Sâu 1,30904,77,8
Cầu Bến Cát 1,77316,68,7
Cầu An Phú Đông 1,12648,78,5
Cầu vượt Ngã Tư Ga,390445,75,5
Cầu cụt,62571,77,7
Lê Đức Thọ,284425,68,6
Cầu Trường Đai,276455,68,8
Cầu Bến Phân,43652,68,8
Cầu An Lộc,229199,69,6
Hà Huy Giáp,240608,70,9
Cầu Đỏ,26232,75,6
Cầu Băng Ky,88492,76,7
Nơ Trang Long,215035,76,8
Bình Quới,155548,73,9
Quốc lộ 50,389521,76,8
Cầu Long Kiểng,85001,78,10
Cầu Ông Bé,30288,72,8
Cầu Ông Lớn,26095,76,7
Cầu Thầy Tiêu,39263,78,10
Cầu Phú Xuân,373487,77,5
Cầu Bà Tiếng,70017,78,9
Đặng Nguyên Cẩn,108148,74,7
Cầu Tân Hoá,235231,74,10
Trịnh Đình Thảo,270101,73,10
Cầu Sơn,63879,72,6
Cầu Đen 2,20340,73,10
Cầu Văn Thánh,229929,77,9
Cầu Kênh B,56360,76,5
Trần Đại Nghĩa,304884,78,10
Cầu Tân Tạo,108813,78,5
Cầu Bà Hom,115015,68,9
Cầu Bông,302884,75,8
Cầu Bà Lát,91018,76,9
Lê Trọng Tấn,290857,72,6
Cầu Bình Phú Tây,97920,76,10
Cầu Tham Lương,391762,73,5
Phan Huy ích,200407,69,9
Cầu Chợ Cầu 1,173875,74,6
Cầu Giao Khẩu,92491,76,6
Cầu Đúc Nhỏ,71213,70,9
Cầu Giồng Ông Tố 1,281888,73,10
Nguyễn Thị Định,394572,78,5
Cầu Ông Tranh,62211,68,9
Cầu Đen 1,86226,68,10
Cầu Phước Long,146639,74,10
Cầu Rạch Đĩa,170902,68,7
Cầu Đa Khoa,35231,73,10
Cầu Rạch Bàng 1,256341,73,10
Cầu Xóm Củi,242166,71,9
Cầu Bà Tàng,109940,78,9
Cầu Vĩnh Mậu,85715,69,7
Bến Mễ Cốc,196516,73,5
Cầu Phạm Văn Chí,295334,74,10
Cầu Mã Voi,67723,69,9
Cầu Bà Lớn,58135,76,9
Cầu Hậu Giang,238518,76,8
Cầu Chánh Hưng,385746,70,10
Cầu Hiệp Ân 2,16788,78,7
Nguyễn Duy,209920,68,8
Cầu Hiệp Ân 1,62114,75,10
Cầu Mật,38106,76,9
Bến Vân Đồn,360352,71,8
Cầu Văn Thánh 2,210181,78,7
Hoàng Sa,241857,78,9
Huỳnh Văn Bánh,263351,76,5
Trần Quốc Toản,299068,72,10
Trần Ðình Xu,232956,73,9
Cầu Số 9,26770,68,6
Ðồng Khởi,312894,78,8
Phó Ðức Chính,251332,70,8
Calmette,379871,72,5
Vườn Chuối,112062,74,6
Nguyễn Phúc Nguyên,209757,78,6
Lý Tự Trọng,314504,71,7
Cầu Thị Nghè,338482,69,6
Cầu Trần Quang Diệu,167196,73,9
Công Trường Quốc Tế,268017,74,8
Cầu Số 6,13878,72,6
Cống Quỳnh,216154,71,7
Rạch Bùng Binh,127055,69,7
Trần Quang Diệu,274864,71,5
Nguyễn Hữu Cầu,124978,76,9
Trần Văn Ðang,267211,76,10
Hồ Hảo Hớn,156374,71,5
Nguyễn Cảnh Chân,184847,71,9
Cầu Công Lý,305205,71,7
Nguyễn Bỉnh Khiêm,377453,70,10
Trương Định,286868,70,9
Nguyễn Văn Giai,198787,71,8
Cầu số 8,62033,69,8
Công Xã Paris,381097,69,8
Cầu Ðiện Biên Phủ,328956,78,6
Nguyễn Thái Học,358766,71,7
Trần Quốc Thảo,298616,72,10
Bàn Cờ,256508,69,5
Nguyễn Thượng Hiền,258771,72,7
Cầu Số 7,23533,70,10
Trần Quang Khải,207893,78,7
Nguyễn Hữu Tự,148327,77,5
Công Trường Mê Linh,299999,77,6
Cầu Số 5,48796,78,6
Công Trường Dân Chủ,273087,74,5
Võ Thị Sáu,338877,76,7
Đường dẫn Cầu Thủ Thiêm,302791,75,5
Cầu Thủ Thiêm,302288,74,7
Nguyễn Ðình Chiểu,304549,68,8
Hương lộ 8,192429,69,9
Cầu An Lập,247177,78,6
Cầu vượt Thủ Đức,381543,76,9
Cầu Rạch Chiếc 1,300994,71,8
Cầu Bình Triệu 2,341842,68,6
Vòng xoay Ngã Sáu Gò Vấp,348091,71,8
Đường số 9A,188658,70,8
Trần Hữu Trang,131948,71,7
Cầu Phú Mỹ,346027,78,9
Nguyễn Văn Quỳ,200074,74,8
Cầu Giồng Ông Tố 2,226942,69,6
Võ Chí Công,352780,68,5
Cầu Lý Phục Man,118624,76,6
Cầu Khánh Hội,327929,72,8
Cầu Rạch Ngang,106075,76,5
Khánh Hội,281481,68,8
Ông Ích Khiêm,209302,77,5
Cầu Bình Thuận,276672,76,10
Vòng xoay Phú Lâm,342430,69,5
Cầu Ông Buông 1,171789,73,7
Cầu Số 1,19239,73,6
Cầu Số 3,57363,76,7
Cầu Số 4,95113,74,8
Cầu Thị Nghè 2,347454,75,6
Cầu Bùi Hữu Nghĩa,286349,72,6
Đường số 15,152580,77,7
Hưng Phú,253206,70,10
Hẻm 68 Trần Quang Khải,52789,76,10
Cầu Tư Dinh,68999,76,9
Cầu Kênh Ngang 1,133234,73,10
Đoàn Văn Bơ,253905,68,10
Cầu Ba Thôn,86777,76,7
Đường số 38,189218,68,9
Trần Nam Trung,192846,68,9
Hẻm 131 Tô Hiến Thành,15990,71,8
Hẻm 92 Vũ Huy Tấn,23522,71,7
Đại lộ Bình Dương,363185,69,9
Cầu Hoàng Hoa Thám,224692,76,8
Cao Xuân Dục,152988,69,10
Quách Thị Trang,198693,68,6
Đường số 48,115887,78,8
Cầu Cái Trung,22163,75,10
Song Hành,293914,76,7
Hà Huy Tập,109375,78,9
Tân Thành,209552,68,5
Đường tỉnh 743,336542,73,8
Song Hành 22,185805,78,5
Bến Phú Lâm,179225,71,9
Hoàng Lê Kha,286387,73,8
Lê Tuấn Mậu,175575,75,6
Ngã tư Hàng Xanh,304228,71,6
Cống đập Rạch Chiếc,44458,68,7
Đỗ Xuân Hợp,292930,73,7
Phú Định,197814,78,5
Cầu Nước Lên,80716,76,10
Cầu Rạch Cây,116372,70,6
Cầu Lò Gốm,190780,74,8
Cầu Ông Cậy,18739,73,6
Cầu Cá Trê Lớn,81232,76,5
Cầu Cá Trê Nhỏ,22297,77,9
Nhà Thờ,184519,76,7
Bùi Bằng Đoàn,204675,77,6
Xuân Diệu,137687,73,8
Đường An Phú Tây - Hưng Long,211277,74,9
Phan Văn Đáng,104314,77,8
Nữ Dân Công,135955,72,9
Dương Công Khi,283200,70,7
Ngô Quyền,212903,69,8
Đường Số 9A,107049,72,7
Đào Trí,277594,77,9
Cầu vượt Sóng Thần 1,397257,75,6
Ba Diểm 12,10459,70,5
Đường số 8,178007,78,10
Tô Ký,289946,77,10
Trần Văn Ơn,180292,75,8
Nguyễn Lương Bằng,351654,71,5
Cầu Cả Cấm,72349,69,9
Liên phường,216497,71,10
Cầu Bình Điền,353369,73,6
Cầu Thanh Lộc,38673,72,9
Vòng xoay An Lạc,368669,78,7
Nguyễn Thiện Thuật,234976,75,9
Phạm Thái Bường,170388,72,7
Tôn Dật Tiên,278762,69,8
Nguyễn Cao,117670,75,5
Cầu Kênh Xáng,44799,68,6
Cầu Rạch Bàng 2,274637,72,9
Cầu Him Lam,304845,68,8
Đường N - Bắc,58097,71,9
Cầu Mới,170194,72,8
Cầu Ông Lãnh,358161,75,7
Cầu Dừa,63409,71,9
Nguyễn Thị Tần,220875,75,6
Tôn Thất Thuyết,211303,73,5
Cầu Tân Thuận 1,346393,77,6
Phú Thuận,151155,74,10
Cầu Phú Thuận,49088,74,8
Cầu Kênh Tẻ,330965,69,10
Nguyễn Tất Thành,362929,72,6
Cầu vượt Thủ Thiêm,337198,71,6
Cầu Nguyễn Kiệu,224044,75,6
Đường số 51,150166,73,5
Lê Văn Lượng,198559,73,5
Trần Xuân Soạn,235700,69,8
Vòng xoay Dương Bá Trạc,225492,68,10
Vòng xoay Ngã tư Bình Phước,317681,77,9
Đường số 17A,146645,73,6
Đường số 32,179236,75,10
Đường số 29,109230,71,6
Cầu Mỹ Thủy 1,357238,70,7
Cầu Mỹ Thủy 2,369027,74,10
Cầu Kỳ Hà 2,254241,78,9
Cầu Kỳ Hà 4,224401,69,8
Cầu Kỳ Hà 1,377114,78,10
Đường số 16,186481,69,6
Gò Cát,138531,70,7
Nguyễn Tư Nghiêm,230368,70,8
Thạnh Mỹ Lợi,101227,71,6
Lê Cơ,132672,75,8
Đường số 2D,172121,70,10
Quốc lộ 13 cũ,312110,72,5
Nhánh cầu Tân Thuận 2,319870,73,7
Đường sô 38,125724,75,7
Cầu Cần Giuộc,269364,71,7
Cầu Sập,55975,68,8
Quản Trọng Linh,140415,69,7
Lê Thị Hoa,159207,78,8
Cầu vượt Linh Xuân,349161,69,9
Bế Văn Đàn,121086,74,5
Cầu vượt Trạm 2,384034,73,5
Nguyễn Du,284048,74,6
Trương Đình Hợi,164111,68,8
Tân Vĩnh,172153,72,7
Trần Hưng Ðạo,357664,78,8
Hải Thượng Lãn Ông,266586,78,5
Phú Hữu,179332,70,5
Bến Hàm Tử,241794,73,6
Cầu Chà Và,347095,68,6
Phạm Hùng,332724,76,9
Tạ Uyên,248266,78,6
Mai xuân Thưởng,101485,76,5
Phạm Đình Hổ,194565,73,8
Lê Quang Sung,253386,78,5
Thuận Kiều,266213,69,7
Ðiện Biên Phủ,326007,77,9
Trần Minh Quyền,159964,70,6
Mai Thị Lựu,252723,68,7
D1,116226,76,6
Đường D1,182228,78,8
Nguyễn Cửu Vân,268495,70,5
Nguyễn Hữu Hào,193053,76,6
Tôn Đức Thắng,346147,75,6
Tôn Ðức Thắng,367688,71,7
Quốc Lộ 50,392834,69,8
Tùng Thiện Vương,209177,71,10
Bùi Minh Trực,120809,78,10
Đường CN1,66554,68,8
Lê Thúc Hoạch,130217,68,7
T1 Loop,17782,71,5
Đường dẫn ga Quốc nội,308383,74,5
Hồng Hà,248031,73,6
Đường dẫn sảnh đi Quốc tế,340011,72,7
Đường dẫn Sảnh Đến Quốc tế,371448,76,7
Đường dẫn Ga Quốc tế,378430,71,8
Đường dẫn Sảnh Đi Quốc tế,324574,74,9
Núi Thành,223100,78,5
Thân Nhân Trung,111896,72,10
Út Tịch,238162,71,10
Đường C12,84115,70,10
Đường B2,27663,74,10
Cầu vượt Ngã tư Hàng Xanh,325971,69,7
Nguyễn Văn Quá,204806,68,10
Song hành QL22,272899,72,10
Liên Xã,126466,74,10
Tú Xương,181136,68,7
Cầu 15B,13331,75,6
Phú Thuận,150839,75,9
Đào Sư Tích,108702,68,6
Cầu Phước Lộc,252835,76,10
Cầu Số 2,15922,68,10
Nguyễn Cao Bắc,192782,76,6
Đường Số 13,160783,76,5
Bế Văn Cấm,171844,70,10
Nguyễn Đồng Chi,154681,72,8
Cầu Ba Tơ,99653,69,7
Tân Chánh Hiệp 2,105187,69,9
Hiệp Thành 13,180252,73,7
Song hành QL 22,272698,71,8
Cầu Chợ Cầu 2,189031,74,5
Cầu vượt Tỉnh lộ 10,352093,73,8
Lăng Cha Cả,209917,76,10
Tân Kỳ Tân Quý,292885,69,6
TP Hồ Chí Minh - Trung Lương,362793,72,8
Số 17,97861,69,8
Cầu Sông Chùa,77888,73,9
Võ Trần Chí,361447,74,5
Cầu Kênh 3,77341,72,8
Số 18,59478,74,9
Cầu Rạch Tam,13048,78,7
Cầu vượt Nút giao Quốc lộ 1,352581,73,8
Đường dẫn vào Cao tốc Trung Lương,329448,74,8
Cầu Chợ Đệm,161738,76,10
Cầu Ông Giáo,26825,77,10
Cầu vượt Ngã tư Thủ Đức,323238,74,10
Vũ Huy Tấn,211429,68,6
Bắc Hải,110043,71,9
Cầu Bình Phước 2,387083,68,6
Cầu Rạch Sâu 2,54146,71,5
Cầu Bến Cát 2,45625,68,8
Nguyễn Văn Tố,121738,78,5
Cầu Ông Đội,81204,77,10
Thới An 16,177807,77,9
Cầu vượt Tân Thới Hiệp,377950,71,8
Đông Bắc,185907,75,8
Đường dẫn sảnh đến Quốc tế,316109,70,9
Đường dẫn Ga Quốc Nội,388975,71,10
Bờ Bao Tân Thắng,264297,75,7
Kênh Mười Chín Tháng Năm,121794,77,5
Hai Mươi Sáu Tháng Ba,154835,71,9
Bình Thành,195389,73,5
Cầu vượt Ngã tư ThủĐức,356173,68,7
Cầu,74181,73,7
Cầu Kênh 1,62324,71,6
Cầu Kênh 2,62290,75,9
Tân Thới Nhất 1,189607,73,10
Đường Cây Cám,18745,73,9
Hẻm 84A Trần Hữu Trang,69007,75,5
Đường 10A,132257,70,9
Nguyễn Đình Chính,291147,76,8
Hẻm 200C Xóm Chiếu,83244,78,9
Dương Đình Cúc,158216,75,10
Bà Huyện Thanh Quan,298800,76,10
Đường Số 2,161179,74,9
Nguyễn Văn Quý,187076,68,7
Cầu Tân Thuận 2,394608,73,8
Cầu Cả Bốn 2,63086,72,10
Lê Văn Ninh,144067,71,5
Lam Sơn,121469,70,7
Đường A,128758,76,6
Trần Kế Xương,175976,72,9
Đường đất,78228,76,9
Lê Quang Định,312418,68,10
Trung Mỹ Tây 13,199953,71,9
Cầu Rạch Láng Le,78239,74,6
Cầu Rạch Gia,16009,76,10
Vòng xoay Mũi Tàu,359380,71,10
Cao Thắng,382354,74,5
Cầu Nhị Thiên Đường 2,282342,71,10
Cầu Nhị Thiên Đường 1,212741,69,9
Hồ Văn Long,101606,78,7
Cống Cái Trung,10962,75,7
Cầu Kênh 10,18244,68,5
Cầu Cái Tâm,32669,71,10
Cầu Sa,53698,77,6
Đặng Công Bỉnh,154050,69,8
Vtt,25425,71,8
Tân Long,136301,74,6
Đường số 41,129885,73,8
3 Tháng 2,355401,69,10
Cầu vượt Cây Gõ,347030,73,9
Cầu vượt Tân Tạo,201938,69,9
Cầu Bà Cua,55152,73,10
Số 54,68714,75,5
Cầu An Phú Đông 2,69898,74,7
Cầu Ga 1B,71686,72,9
Cầu Ga 2,78373,71,5
Đường B,163883,74,5
Phạm Văn Đồng,308244,72,9
Cầu Rạch Lăng,250920,75,9
Cầu Bình Lợi,357365,78,9
Đường số 20,166390,72,7
Bảy Hiền,215776,68,5
Bàu Cát ,147145,78,8
Đường số 20,136737,76,7
Kênh Nước Đen,182822,74,7
Láng Le Bàu Cò,147298,69,7
Cầu Phú Định,392897,76,9
Vòng xoay Nguyễn Duy Trinh,395561,71,10
Vòng xoay,165594,75,10
Hương Lộ 3,267764,71,6
Thạch Lam,128014,73,8
Nguyễn Lý,137572,68,8
Lê Quang Chiểu,138870,73,5
Đường số 5F,195126,76,8
Đường số 5D,156921,70,10
Phan Anh,263036,73,9
Lê Văn Quới,286344,71,7
Hẻm 124 đường số 14,67253,68,5
Miếu Bình Đông,68205,75,10
Thảo Điền,362491,69,5
Trung Mỹ Tây 2A,162202,78,10
Đường số 836,57134,74,8
Cầu Kỳ Hà 3,208773,73,8
Hầm chui Mỹ Thủy,394367,70,9
Cầu Huyện Thanh,66324,71,9
Đường dẫn sảnh ga đi quốc tế,354458,70,5
Đường T11,76278,76,8
Bờ Huệ,49065,77,7
Đường Chùa,94524,72,8
Đường Liên ấp 2 3 4,124072,75,10
Tân Liễu,83364,71,7
Tân Sơn,231503,73,6
Hầm chui,50652,74,9
Cầu Kênh 4,34427,76,10
Tân Thới Nhất 6,140045,72,7
Ba Diểm 9,51244,77,7
Bà Diem 10,75740,71,10
Phạm Ngũ Lão,234808,73,6
Cầu Thầy Tiêu 2,41298,71,9
Tân Thới Nhất 8,163902,70,8
Tân Thới Nhất 2,142625,72,10
Đường Liên khu 4-5,167364,73,5
Đường D4,108295,76,7
Cầu Kênh 9,35127,77,5
Cầu Kênh 8,39720,68,5
Cầu Kênh 7,36440,73,5
Cầu Kênh 5,35512,75,6
Lê Ngung,135293,77,6
Ao Đôi,148804,72,9
Đường GS1,196023,74,10
Nguyễn Viết Xuân,124358,71,6
Kênh 10,22258,74,9
Cống Mỹ Phú,29333,72,7
Đường ven hồ trung tâm,135789,71,10
Đường Cao tốc Tp. Hồ Chí Minh-Long Thành-Dầu Giây,360929,74,6
Raymondienne,63987,72,10
Hương lộ 10,206125,70,7
Nhánh C2,36852,70,10
Nhánh C1,16672,73,7
Đường D2,179835,78,7
Kênh Tân Hoá,72579,78,5
Cầu Kênh 6,94799,71,5
Số 10,24890,77,6
Đường số 26,196475,69,9
Cầu vượt Hương lộ 2,355978,76,5
Cầu Phú Long,256963,78,9
Thạnh Lộc 29,187268,75,7
Cầu Trùm Bích,51123,72,10
Thạnh Lộc 30,181165,72,9
Xuân Thới 3,116857,78,7
Xuân Thới Thuượng 7,78462,72,10
BÀ Diểm 3,99958,70,9
Hậu Lân - Bà Diểm,152218,71,9
D2,139264,75,10
Nhánh B1A,72925,69,9
Nhánh A2,94591,72,7
Nhánh B1,66028,74,10
Nhánh B2,47362,72,8
Nguyễn Thông,210968,74,7
Lê Thánh Tôn,323082,72,6
Nhánh D2,83857,76,10
X5,16659,74,6
X4,12068,75,8
Đường cao tốc Tp. Hồ Chí Minh-Long Thành-Dầu Giây,367666,73,8
Cầu vượt Lăng Cha Cả,372978,68,5
Thạnh Lộc 43,149864,70,5
Nhánh A1,56586,77,7
